id,class
0,1
1,5
2,4
3,8
4,1
5,4
6,4
7,9
8,5
9,5
10,5
11,0
12,3
13,3
14,7
15,8
16,3
17,4
18,4
19,1
20,4
21,5
22,6
23,3
24,5
25,4
26,2
27,2
28,8
29,2
30,9
31,2
32,7
33,4
34,9
35,7
36,6
37,8
38,5
39,2
40,8
41,4
42,6
43,2
44,9
45,0
46,2
47,7
48,8
49,9
50,0
51,6
52,9
53,0
54,4
55,7
56,0
57,2
58,2
59,9
60,0
61,4
62,5
63,4
64,1
65,0
66,8
67,6
68,2
69,4
70,5
71,9
72,0
73,8
74,7
75,5
76,8
77,3
78,1
79,3
80,6
81,1
82,7
83,7
84,6
85,8
86,6
87,1
88,3
89,1
90,2
91,8
92,4
93,9
94,8
95,7
96,6
97,0
98,5
99,6
100,4
101,9
102,0
103,2
104,2
105,7
106,3
107,7
108,9
109,1
110,2
111,9
112,0
113,0
114,4
115,1
116,3
117,2
118,3
119,4
120,3
121,1
122,9
123,1
124,8
125,5
126,0
127,6
128,7
129,3
130,4
131,1
132,1
133,8
134,7
135,9
136,1
137,1
138,8
139,6
140,3
141,9
142,8
143,4
144,0
145,2
146,6
147,8
148,4
149,9
150,4
151,8
152,5
153,1
154,9
155,1
156,5
157,4
158,6
159,6
160,3
161,0
162,0
163,6
164,7
165,8
166,6
167,6
168,4
169,8
170,8
171,2
172,9
173,3
174,9
175,3
176,5
177,0
178,6
179,4
180,4
181,1
182,3
183,7
184,5
185,8
186,0
187,4
188,3
189,3
190,2
191,6
192,4
193,1
194,5
195,4
196,4
197,1
198,4
199,2
200,7
201,5
202,1
203,3
204,7
205,0
206,4
207,4
208,8
209,1
210,4
211,1
212,8
213,4
214,3
215,5
216,5
217,2
218,4
219,3
220,8
221,0
222,0
223,5
224,8
225,7
226,2
227,2
228,3
229,3
230,6
231,9
232,5
233,6
234,5
235,7
236,3
237,8
238,4
239,1
240,0
241,3
242,7
243,6
244,3
245,1
246,3
247,4
248,9
249,2
250,4
251,7
252,8
253,3
254,1
255,5
256,6
257,7
258,9
259,1
260,3
261,4
262,7
263,4
264,7
265,8
266,4
267,2
268,7
269,0
270,8
271,6
272,4
273,7
274,1
275,6
276,6
277,8
278,4
279,9
280,4
281,3
282,8
283,9
284,1
285,1
286,3
287,7
288,7
289,2
290,6
291,2
292,3
293,5
294,2
295,1
296,0
297,3
298,7
299,4
300,2
301,5
302,9
303,4
304,6
305,1
306,7
307,8
308,7
309,1
310,2
311,3
312,0
313,4
314,2
315,1
316,3
317,3
318,2
319,5
320,5
321,1
322,2
323,5
324,7
325,3
326,0
327,8
328,5
329,8
330,9
331,4
332,5
333,2
334,1
335,0
336,0
337,3
338,8
339,3
340,3
341,1
342,0
343,7
344,0
345,8
346,5
347,7
348,3
349,4
350,5
351,5
352,6
353,6
354,7
355,8
356,0
357,9
