id,class
0,8
1,7
2,0
3,1
4,4
5,2
6,4
7,8
8,1
9,1
10,5
11,1
12,0
13,5
14,7
15,6
16,1
17,7
18,9
19,5
20,7
21,3
22,7
23,5
24,6
25,6
26,2
27,7
28,6
29,0
30,9
31,6
32,1
33,5
34,9
35,5
36,8
37,0
38,0
39,8
40,8
41,6
42,7
43,7
44,7
45,8
46,1
47,9
48,6
49,0
50,5
51,1
52,1
53,1
54,3
55,2
56,2
57,6
58,4
59,3
60,5
61,5
62,4
63,6
64,6
65,1
66,7
67,8
68,8
69,3
70,1
71,9
72,9
73,3
74,2
75,1
76,0
77,4
78,8
79,2
80,3
81,6
82,9
83,9
84,6
85,5
86,6
87,1
88,0
89,7
90,2
91,2
92,8
93,0
94,1
95,8
96,6
97,6
98,3
99,5
100,0
101,9
102,6
103,9
104,8
105,2
106,1
107,3
108,9
109,4
110,6
111,5
112,3
113,4
114,7
115,0
116,4
117,8
118,6
119,5
120,5
121,4
122,2
123,2
124,2
125,5
126,6
127,6
128,8
129,1
130,5
131,5
132,6
133,2
134,9
135,2
136,0
137,5
138,5
139,2
140,7
141,5
142,6
143,8
144,8
145,0
146,3
147,4
148,5
149,6
150,3
151,5
152,0
153,1
154,4
155,4
156,7
157,7
158,7
159,8
160,6
161,6
162,5
163,2
164,7
165,5
166,2
167,1
168,8
169,1
170,5
171,5
172,3
173,6
174,1
175,0
176,1
177,0
178,3
179,7
180,0
181,9
182,9
183,8
184,0
185,0
186,0
187,9
188,5
189,9
190,6
191,5
192,4
193,5
194,3
195,8
196,8
197,3
198,6
199,0
200,8
201,4
202,5
203,7
204,0
205,8
206,4
207,5
208,1
209,1
210,2
211,3
212,8
213,7
214,3
215,7
216,4
217,7
218,2
219,9
220,1
221,7
222,9
223,5
224,7
225,4
226,6
227,9
228,0
229,1
230,0
231,1
232,2
233,6
234,5
235,9
236,0
237,5
238,7
239,0
240,6
241,8
242,2
243,1
244,9
245,7
246,7
247,9
248,8
249,6
250,6
251,1
252,9
253,1
254,0
255,8
256,5
257,2
258,7
259,1
260,4
261,5
262,0
263,5
264,4
265,7
266,1
267,2
268,3
269,7
270,0
271,8
272,5
273,9
274,5
275,2
276,3
277,2
278,3
279,2
280,7
281,3
282,4
283,0
284,9
285,5
286,0
287,3
288,5
289,4
290,6
291,3
292,8
293,6
294,7
295,4
296,7
297,1
298,8
299,4
300,1
301,8
302,8
303,3
304,9
305,8
306,6
307,8
308,0
309,0
310,7
311,4
312,7
313,1
314,2
315,4
316,4
317,2
318,4
319,4
320,6
321,4
322,5
323,9
324,3
325,4
326,2
327,4
328,1
329,5
330,5
331,2
332,2
333,9
334,3
335,4
336,4
337,9
338,7
339,8
340,8
341,1
342,8
343,9
344,9
345,3
346,5
347,6
348,2
349,4
350,6
351,8
352,0
353,9
354,6
355,3
356,8
357,3
358,3
359,4
360,4
361,4
362,7
363,7
364,2
365,5
366,3
367,6
368,5
369,3
370,4
371,1
372,2
373,9
374,9
375,5
376,4
377,8
378,3
379,6
380,3
381,2
382,5
383,8
384,3
385,6
386,9
387,0
388,5
389,8
390,6
391,1
392,5
393,0
394,8
395,0
396,3
397,5
398,3
399,9
400,9
401,2
402,0
403,5
404,2
405,4
406,8
407,9
408,9
409,9
410,3
411,7
412,4
413,6
414,5
415,3
416,1
417,6
418,8
419,0
420,4
421,3
422,6
423,1
424,0
425,7
426,7
427,2
428,2
429,3
430,3
431,2
432,5
433,8
434,0
435,6
436,7
437,7
438,4
439,8
440,6
441,0
442,4
443,4
444,8
445,6
446,7
447,9
448,0
449,2
450,0
451,8
452,5
453,2
454,6
455,8
456,9
457,1
458,2
459,2
460,9
461,2
462,6
463,2
464,7
465,1
466,9
467,9
468,8
469,9
470,4
471,7
472,0
473,3
474,5
475,6
476,0
477,2
478,7
479,1
480,3
481,2
482,8
483,5
484,3
485,2
486,0
487,8
488,6
489,5
490,0
491,7
492,6
493,5
494,3
495,4
496,5
497,5
498,2
499,1
500,1
501,5
502,3
503,2
504,2
505,2
506,3
507,6
508,0
509,9
510,2
511,8
512,8
513,5
514,1
515,8
516,4
517,5
518,1
519,0
520,7
521,1
522,8
523,1
524,6
525,9
526,7
527,3
528,1
529,3
530,9
531,0
532,8
533,8
534,9
535,3
536,7
537,4
538,4
539,5
540,9
541,5
542,6
543,7
544,7
545,4
546,9
547,6
548,4
549,5
550,7
551,4
552,7
553,3
554,7
555,7
556,2
557,3
558,7
559,7
560,0
561,5
562,2
563,3
564,7
565,8
566,9
567,7
568,5
569,9
570,9
571,0
572,6
573,4
574,3
575,3
576,8
577,9
578,6
579,3
580,7
581,1
582,8
583,2
584,5
585,6
586,9
587,3
588,2
589,8
590,1
591,2
592,7
593,8
594,6
595,3
596,3
597,4
598,5
599,5
600,8
601,7
602,2
603,6
604,9
605,2
606,1
607,7
608,9
609,4
610,1
611,0
612,2
613,5
614,2
615,9
616,5
617,7
618,3
619,4
620,2
621,1
622,3
623,4
624,0
625,3
626,9
627,3
628,4
629,4
630,6
631,0
632,3
633,1
634,7
635,5
636,2
637,3
638,8
639,9
640,5
641,0
642,5
643,9
644,9
645,4
646,5
647,2
648,1
649,2
650,2
651,0
652,2
653,4
654,2
655,5
656,4
657,8
658,1
659,6
660,6
661,7
662,1
663,3
664,3
665,1
666,3
667,0
668,5
669,9
670,5
671,3
672,7
673,6
674,0
675,8
676,7
677,5
678,7
679,1
680,3
681,4
682,6
683,8
684,8
685,1
686,2
687,2
688,1
689,5
690,4
691,8
692,9
693,4
694,2
695,4
696,1
697,1
698,9
699,3
700,1
701,9
702,9
703,3
704,7
705,0
706,3
707,3
708,3
709,6
710,4
711,1
712,5
713,2
714,8
715,7
716,5
717,8
718,3
719,9
720,9
